month,predicted_unicorns,lower_90,upper_90,trend
2024-05-01,43.7,35.3,52.2,43.473879729631825
2024-06-01,45.3,36.9,53.5,44.17859551764084
2024-07-01,45.4,36.7,53.5,44.86057853829469
2024-08-01,42.7,34.0,51.5,45.5652943263037
2024-09-01,47.1,38.8,55.7,46.27001011431271
2024-10-01,47.2,38.4,56.0,46.95199313496657
2024-11-01,47.9,39.8,56.5,47.656708922975575
2024-12-01,47.6,38.9,56.1,48.338691943629435
2025-01-01,49.5,40.3,58.2,49.043407731638446
2025-02-01,47.7,39.4,56.5,49.74812351964746
2025-03-01,51.6,43.0,60.8,50.38464100559106
2025-04-01,50.0,40.9,59.1,51.08935679360007
